FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent
201	-93.88669	36.716601	660	36.689226	-93.896112	36.71897	-93.886356	489.6	-5566027.586	2177198.99	701	0	Vent
202	-94.734561	35.989401	932	35.961918	-94.765018	36.000466	-94.7022	643	-5617418.846	2132799.664	958	0	Vent
203	-92.028996	38.180528	685	38.167798	-92.066591	38.177554	-92.003536	744	-5452553.697	2262872.675	801	0	Vent
204	-91.987714	37.808989	559	37.744149	-92.101214	37.836234	-91.922755	668.2	-5448390.234	2243389.984	594	0	Vent
205	-89.806114	37.526365	1056	37.530292	-89.846565	37.506259	-89.762094	966.5	-5321038.442	2223987.38	1091	0	Vent
206	-90.739724	35.706778	1263	35.695951	-90.769468	35.706897	-90.712598	1223.1	-5375751.697	2116859.637	1274	0	Vent
207	-88.526369	36.545122	1291	36.524777	-88.552305	36.541196	-88.498529	396.2	-5245537.369	2165629.819	1297	0	Vent
208	-89.180531	37.050034	1105	37.018506	-89.265478	37.08061	-89.097964	490.6	-5288730.081	2195270.588	1111	0	Vent
209	-90.587298	37.456503	811	37.479941	-90.50711	37.423786	-90.651544	205.8	-5368832.307	2219736.318	820	0	Vent
210	-87.951595	35.538474	1367	35.52503	-87.967061	35.532406	-87.939936	880.9	-5214031.965	2106350.334	1370	0	Vent
