	FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017	AspectRatio	Equant	EquantInt	Length	Orientation	Prominence	clusterID	clusterName
92	92	-106.554917	3.02818	-6316010.462	179494.4564	5787	2.996676	-106.580044	3.040458	-106.544066	291.959998	3.088442	-106.502692	-6312914.875	183066.4818	5807	0	Vent	94	11.4775697852	NotEquant	0	3350.99125152	39.3718040963	1.0	3.0	
93	93	-106.442251	2.642258	-6309332.232	156619.0293	5743	2.638736	-106.449485	2.737125	-106.357582	240.185584	2.699293	-106.394138	-6306480.366	159999.802	5760	0	Vent	95	33.148595014	NotEquant	0	7961.81465223	43.0142526656	7.0	3.0	
94	94	-106.562484	2.290808	-6316458.999	135786.941	5666	2.233493	-106.612462	2.349194	-106.525463	111.503358	2.346463	-106.525459	-6314264.388	139085.9094	5673	0	Vent	96	76.7915074287	NotEquant	0	8562.51094418	36.9168465248	1.0	3.0	
95	95	-105.888215	2.072639	-6276491.931	122855.0481	5660	2.085503	-105.892379	2.057396	-105.896395	192.48464	2.058434	-105.893498	-6276805.044	122013.0284	5670	0	Vent	97	8.72726797692	NotEquant	0	1679.86503472	-171.873640765	56.0	3.0	
96	96	-107.882614	0.306465	-6394709.324	18165.64131	5678	0.283191	-107.899122	0.311745	-107.877558	166.435337	0.30054	-107.879473	-6394523.149	17814.44715	5681	0	Vent	98	12.7201299692	NotEquant	0	2117.07911811	37.0597003497	26.0	3.0	
97	97	-107.272057	1.422746	-6358518.73	84332.86391	5543	1.370422	-107.314136	1.476308	-107.23487	235.691831	1.471216	-107.230369	-6356047.677	87205.88601	5559	0	Vent	99	33.2001972942	NotEquant	0	7825.01528984	36.808977515	1.0	3.0	
98	98	-107.116748	1.838197	-6349312.856	108958.5781	5576	1.809272	-107.109461	1.895081	-107.10961	267.97948	1.793517	-107.130472	-6350126.314	106310.1651	5583	0	Vent	100	18.9456286536	NotEquant	0	5077.03971486	-0.0994347503559	14.0	3.0	
99	99	-107.015798	1.681918	-6343329.037	99695.16689	5584	1.660577	-107.027992	1.701771	-106.987988	125.558921	1.715004	-106.972682	-6340773.359	101656.3536	5599	0	Vent	101	27.0530182244	NotEquant	0	3396.74777804	44.1474462103	1.0	3.0	
100	100	-107.482209	3.801773	-6370975.429	225348.9601	5642	3.842745	-107.472394	3.757233	-107.501096	391.692745	3.816692	-107.47231	-6370388.695	226233.2924	5650	0	Vent	102	13.6220749813	NotEquant	0	5335.66794201	-161.482789207	24.0	3.0	
101	101	-107.139451	2.786982	-6350658.575	165197.5208	5590	2.762694	-107.173109	2.809431	-107.101497	237.059391	2.824678	-107.089549	-6347700.646	167431.9055	5596	0	Vent	103	21.3253652886	NotEquant	0	5055.37810818	56.8370864055	2.0	3.0	
