	FID	Longitude	Latitude	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_east	peak_north	peak_elev	noVentInt	noVent	Orientation	Length	AspectRatio	EquantInt	Equant	Prominence	clusterID	clusterName
508	508	-97.8429	-18.7326	5510	-18.7324	-97.84	-18.7514	-97.8301	284.3	-5.79759e+06	-1.11118e+06	5521	0	Vent	-26.5769	1251.51	4.40209	0	NotEquant	0	6	Syria Planum
509	509	-98.7024	-15.5721	6883	-15.5584	-98.7127	-15.5844	-98.7009	543.8	-5.84943e+06	-922157	6888	0	Vent	-23.5292	1681.4	3.09195	0	NotEquant	0	6	Syria Planum
510	510	-98.5794	-15.8268	6693	-15.8183	-98.612	-15.8491	-98.5777	206.5	-5.84469e+06	-938835	6708	0	Vent	-47.0288	2672.34	12.9411	0	NotEquant	0	6	Syria Planum
511	511	-98.4565	-16.5381	6523	-16.5462	-98.4557	-16.5342	-98.4538	335.7	-5.83686e+06	-980113	6528	0	Vent	8.74988	721.114	2.14809	0	NotEquant	0	6	Syria Planum
512	512	-98.4301	-16.7796	6453	-16.7664	-98.4611	-16.7661	-98.4443	247.5	-5.83552e+06	-994458	6453	0	Vent	88.945	952.19	3.84723	0	NotEquant	0	6	Syria Planum
513	513	-98.474	-17.4558	6219	-17.4456	-98.484	-17.4823	-98.4831	371.9	-5.83698e+06	-1.03338e+06	6229	0	Vent	-1.32683	2173.95	5.84553	0	NotEquant	0	6	Syria Planum
514	514	-98.5487	-15.357	6864	-15.36	-98.5564	-15.3709	-98.5497	422.5	-5.84161e+06	-910746	6867	0	Vent	-30.724	747.266	1.76868	0	NotEquant	0	6	Syria Planum
515	515	-98.7331	-16.0507	6670	-16.0382	-98.7726	-16.0557	-98.7097	510.7	-5.85507e+06	-950441	6682	0	Vent	-73.8045	3724.62	7.29317	0	NotEquant	0	6	Syria Planum
516	516	-98.6396	-14.6681	7222	-14.6769	-98.6547	-14.6784	-98.6406	626.9	-5.84708e+06	-869839	7240	0	Vent		813.4	1.2975	1	Equant	0	6	Syria Planum
517	517	-98.8609	-14.1517	7252	-14.1518	-98.8523	-14.1626	-98.8561	514	-5.8596e+06	-839271	7262	0	Vent		676.86	1.31685	1	Equant	0	6	Syria Planum
518	518	-98.608	-13.7899	7131	-13.7717	-98.6225	-13.7886	-98.623	687.6	-5.84482e+06	-818514	7148	0	Vent		1003.38	1.45925	1	Equant	0	6	Syria Planum
519	519	-98.6747	-11.7631	7058	-11.7868	-98.6922	-11.743	-98.6583	219	-5.84851e+06	-696692	7061	0	Vent	37.1527	3249.96	14.84	0	NotEquant	0	6	Syria Planum
520	520	-98.9557	-13.4562	7231	-13.4622	-98.9685	-13.4592	-98.9479	840.5	-5.86604e+06	-798909	7247	0	Vent		1196.58	1.42365	1	Equant	0	6	Syria Planum
521	521	-99.4404	-13.4703	7385	-13.4428	-99.4798	-13.4519	-99.4623	173.6	-5.89397e+06	-798577	7395	0	Vent	-61.7874	1143.62	6.58768	0	NotEquant	0	6	Syria Planum
522	522	-99.3913	-14.4538	7365	-14.4642	-99.408	-14.5062	-99.373	491.9	-5.88924e+06	-860617	7378	0	Vent	-38.8678	3197.08	6.49945	0	NotEquant	0	6	Syria Planum
523	523	-96.8501	-15.349	6463	-15.3733	-96.8699	-15.3525	-96.8439	305.5	-5.74009e+06	-910189	6467	0	Vent	50.4773	1928.96	6.31411	0	NotEquant	0	6	Syria Planum
524	524	-96.8122	-17.0981	6134	-17.09	-96.8232	-17.1135	-96.7989	380.3	-5.73737e+06	-1.01385e+06	6135	0	Vent	-44.8414	1953.87	5.13771	0	NotEquant	0	6	Syria Planum
525	525	-96.9008	-17.0095	6057	-17.0155	-96.9223	-17.0294	-96.904	682.5	-5.74477e+06	-1.00927e+06	6067	0	Vent	-51.5033	1320.91	1.9354	0	NotEquant	0	6	Syria Planum
526	526	-97.2142	-16.4984	6249	-16.493	-97.224	-16.5092	-97.2091	375.9	-5.76238e+06	-977758	6249	0	Vent	-41.3399	1275.1	3.39212	0	NotEquant	0	6	Syria Planum
527	527	-97.1461	-15.817	6331	-15.8069	-97.15	-15.8244	-97.1278	399.7	-5.76002e+06	-937515	6342	0	Vent	-50.7474	1635.48	4.09176	0	NotEquant	0	6	Syria Planum
528	528	-96.667	-16.5001	6042	-16.4696	-96.6788	-16.5291	-96.6585	225.9	-5.73099e+06	-975938	6053	0	Vent	-18.0529	3701.89	16.3873	0	NotEquant	0	6	Syria Planum
529	529	-96.5396	-17.2617	5915	-17.2499	-96.5484	-17.2701	-96.5279	331.8	-5.72345e+06	-1.02225e+06	5924	0	Vent	-44.0109	1664.01	5.01509	0	NotEquant	0	6	Syria Planum
