FID	Longitude	Latitude	Easting	Northing	Elevation	v1_lat	v1_long	v2_lat	v2_long	Width	peak_lat	peak_long	peak_east	peak_north	peak_elev	noVentInt	noVent	FID2017
88	-106.107422	2.304955	-6289485.346	136625.5168	5669	2.27821	-106.117511	2.354543	-106.092765	145.382592	2.300886	-106.105709	-6289383.796	136384.3353	5674	0	"Vent"	90
89	-106.118158	2.73843	-6290121.688	162319.6029	5786	2.706521	-106.154325	2.833585	-106.017625	246.823205	2.699668	-106.161559	-6292694.291	160022.0314	5798	0	"Vent"	91
90	-106.244968	3.110315	-6297638.323	184362.9603	5833	3.118301	-106.250186	3.094316	-106.248663	227.42312	3.120391	-106.245282	-6297656.94	184960.2442	5836	0	"Vent"	92
91	-106.273699	2.604146	-6299341.365	154359.9874	5769	2.551513	-106.286263	2.621564	-106.272557	163.572044	2.605645	-106.270415	-6299146.727	154448.8438	5773	0	"Vent"	93
92	-106.554917	3.02818	-6316010.462	179494.4564	5787	2.996676	-106.580044	3.040458	-106.544066	291.959998	3.088442	-106.502692	-6312914.875	183066.4818	5807	0	"Vent"	94
93	-106.442251	2.642258	-6309332.232	156619.0293	5743	2.638736	-106.449485	2.737125	-106.357582	240.185584	2.699293	-106.394138	-6306480.366	159999.802	5760	0	"Vent"	95
94	-106.562484	2.290808	-6316458.999	135786.941	5666	2.233493	-106.612462	2.349194	-106.525463	111.503358	2.346463	-106.525459	-6314264.388	139085.9094	5673	0	"Vent"	96
95	-105.888215	2.072639	-6276491.931	122855.0481	5660	2.085503	-105.892379	2.057396	-105.896395	192.48464	2.058434	-105.893498	-6276805.044	122013.0284	5670	0	"Vent"	97
96	-107.882614	0.306465	-6394709.324	18165.64131	5678	0.283191	-107.899122	0.311745	-107.877558	166.435337	0.30054	-107.879473	-6394523.149	17814.44715	5681	0	"Vent"	98
97	-107.272057	1.422746	-6358518.73	84332.86391	5543	1.370422	-107.314136	1.476308	-107.23487	235.691831	1.471216	-107.230369	-6356047.677	87205.88601	5559	0	"Vent"	99
98	-107.116748	1.838197	-6349312.856	108958.5781	5576	1.809272	-107.109461	1.895081	-107.10961	267.97948	1.793517	-107.130472	-6350126.314	106310.1651	5583	0	"Vent"	100
99	-107.015798	1.681918	-6343329.037	99695.16689	5584	1.660577	-107.027992	1.701771	-106.987988	125.558921	1.715004	-106.972682	-6340773.359	101656.3536	5599	0	"Vent"	101
100	-107.482209	3.801773	-6370975.429	225348.9601	5642	3.842745	-107.472394	3.757233	-107.501096	391.692745	3.816692	-107.47231	-6370388.695	226233.2924	5650	0	"Vent"	102
101	-107.139451	2.786982	-6350658.575	165197.5208	5590	2.762694	-107.173109	2.809431	-107.101497	237.059391	2.824678	-107.089549	-6347700.646	167431.9055	5596	0	"Vent"	103
102	-107.181451	4.82352	-6353148.072	285912.6791	5859	4.868624	-107.190647	4.756314	-107.18565	433.000719	4.839296	-107.183164	-6353249.622	286847.7864	5875	0	"Vent"	104
103	-105.555738	5.1273	-6256784.445	303919.1638	6369	5.109573	-105.564066	5.158114	-105.553834	141.745286	5.121518	-105.588717	-6258739.284	303576.4321	6386	0	"Vent"	105
104	-105.478812	5.327593	-6252224.698	315791.4831	6392	5.298683	-105.489996	5.35698	-105.472626	243.16937	5.362757	-105.473444	-6251906.508	317875.7993	6401	0	"Vent"	106
105	-105.439531	5.271127	-6249896.317	312444.435	6330	5.235554	-105.469988	5.278146	-105.435248	656.905263	5.253352	-105.46423	-6251360.331	311390.8525	6371	0	"Vent"	107
106	-105.721358	5.436927	-6266601.496	322272.1844	6405	5.427987	-105.732295	5.441857	-105.713149	174.173813	5.447706	-105.707795	-6265797.557	322911.1039	6410	0	"Vent"	108
107	-105.474092	5.503776	-6251944.879	326234.6396	6439	5.496464	-105.480122	5.505962	-105.471378	458.765523	5.49728	-105.47452	-6251970.267	325849.5954	6440	0	"Vent"	109
108	-105.348255	5.880387	-6244485.96	348558.1489	6537	5.886643	-105.352477	5.848048	-105.352024	218.614839	5.908298	-105.341117	-6244062.834	350212.5696	6545	0	"Vent"	110
109	-104.90884	5.058825	-6218439.775	299860.3265	6085	5.027693	-104.908388	5.07669	-104.907936	493.696779	5.058183	-104.924545	-6219370.651	299822.2452	6103	0	"Vent"	111
110	-105.19982	5.005895	-6235687.509	296722.9341	6193	5.01969	-105.199066	4.953204	-105.192734	105.781374	5.026383	-105.205245	-6236009.085	297937.3043	6201	0	"Vent"	112
111	-105.059118	5.675287	-6227347.47	336400.9474	6336	5.642346	-105.071179	5.69843	-105.056706	297.611633	5.683639	-105.072253	-6228126.021	336896.0042	6344	0	"Vent"	113
112	-105.095356	6.109996	-6229495.415	362168.1363	6496	6.109468	-105.109678	6.100573	-105.082088	281.023858	6.097218	-105.113344	-6230561.691	361410.7417	6504	0	"Vent"	114
113	-105.19894	6.259823	-6235635.351	371049.116	6603	6.242711	-105.206026	6.26819	-105.199845	251.711268	6.269174	-105.215073	-6236591.615	371603.4104	6615	0	"Vent"	115
114	-105.442903	4.825852	-6250096.201	286050.9096	6252	4.82653	-105.449235	4.814771	-105.443959	234.422386	4.832693	-105.450042	-6250519.327	286456.4049	6254	0	"Vent"	116
115	-105.450302	4.508379	-6250534.759	267232.7799	6140	4.498805	-105.456483	4.510715	-105.450754	561.516564	4.511876	-105.464008	-6251347.16	267440.1113	6147	0	"Vent"	117
116	-105.138882	4.381524	-6232075.45	259713.5017	6009	4.374966	-105.147627	4.386876	-105.140692	192.48464	4.386021	-105.137597	-6231999.287	259980.0708	6021	0	"Vent"	118
117	-105.216905	4.499366	-6236700.244	266698.5363	6115	4.505622	-105.221278	4.485571	-105.217659	253.188748	4.488215	-105.214321	-6236547.073	266037.6143	6116	0	"Vent"	119
118	-105.22982	4.534341	-6237465.728	268771.7201	6123	4.532306	-105.225749	4.535623	-105.226503	109.477901	4.535127	-105.222824	-6237051.065	268818.2639	6131	0	"Vent"	120
119	-105.251258	4.552108	-6238736.468	269824.8109	6107	4.530435	-105.259423	4.561395	-105.252076	138.551616	4.543328	-105.245833	-6238414.893	269304.3666	6113	0	"Vent"	121
120	-105.403782	4.745021	-6247777.325	281259.6623	6285	4.738036	-105.405652	4.753741	-105.403749	581.744127	4.751612	-105.386798	-6246770.569	281650.3481	6302	0	"Vent"	122
121	-105.390465	4.793449	-6246987.921	284130.2244	6313	4.796423	-105.401648	4.795471	-105.360484	282.083663	4.786394	-105.393106	-6247144.477	283712.0354	6314	0	"Vent"	123
122	-105.393429	4.242546	-6247163.654	251475.654	6078	4.237431	-105.398426	4.245997	-105.396047	147.251995	4.246758	-105.393144	-6247146.729	251725.2981	6078	0	"Vent"	124
123	-105.046673	3.066751	-6226609.767	181780.7586	5681	3.047359	-105.063805	3.078292	-105.040248	439.272287	3.043266	-105.043104	-6226398.204	180388.6757	5684	0	"Vent"	125
124	-104.341178	3.580797	-6184791.787	212250.6536	5662	3.560215	-104.353314	3.59091	-104.341416	249.229337	3.567448	-104.347317	-6185155.675	211459.4089	5666	0	"Vent"	126
125	-113.843587	25.740342	-6748044.186	1525750.984	2684	25.731895	-113.847394	25.736892	-113.841921	125.558921	25.722853	-113.856151	-6748788.887	1524714.327	2692	0	"Vent"	127
126	-109.237085	26.797967	-6474995.165	1588441.382	3625	26.855431	-109.229946	26.81498	-109.240178	87.229555	26.799323	-109.239226	-6475122.102	1588521.775	3625	0	"Vent"	128
127	-109.39488	26.969641	-6484348.448	1598617.325	3696	26.955008	-109.397022	26.977137	-109.406302	394.728187	26.956863	-109.402733	-6484813.886	1597859.93	3707	0	"Vent"	129
128	-109.223206	27.145539	-6474172.505	1609043.642	3637	27.145658	-109.227251	27.136379	-109.227727	162.810177	27.145361	-109.223813	-6474208.471	1609033.064	3637	0	"Vent"	130
129	-108.530627	-0.619637	-6433120.1	-36728.80331	5894	-0.616434	-108.530298	-0.62744	-108.542509	303.567765	-0.628679	-108.558146	-6434751.249	-37264.76227	5898	0	"Vent"	131
130	-108.468466	-0.456889	-6429435.511	-27081.93533	5933	-0.467668	-108.481733	-0.447315	-108.459269	491.222599	-0.472522	-108.495592	-6431043.388	-28008.58016	5940	0	"Vent"	132
131	-108.447129	-0.942889	-6428170.748	-55889.43955	5902	-0.959246	-108.464165	-0.93422	-108.437028	154.664443	-0.988503	-108.504378	-6431564.214	-58593.21146	5910	0	"Vent"	133
132	-108.119666	-3.071146	-6408760.483	-182041.2511	6187	-3.054465	-108.286693	-3.08516	-107.944051	502.087129	-3.073647	-108.175155	-6412049.578	-182189.5213	6203	0	"Vent"	134
133	-108.290121	-4.787497	-6418864.154	-283777.458	6488	-4.764678	-108.291653	-4.817978	-108.288988	326.306914	-4.77046	-108.290704	-6418898.709	-282767.5984	6489	0	"Vent"	135
134	-108.419968	-3.427354	-6426560.788	-203155.3658	6358	-3.437157	-108.431389	-3.428401	-108.409117	269.92105	-3.440845	-108.43296	-6427330.876	-203955.073	6358	0	"Vent"	136
135	-109.028396	-2.413623	-6462625.218	-143066.7752	6285	-2.425711	-109.04077	-2.421713	-109.027254	196.701532	-2.424747	-109.026076	-6462487.702	-143726.1458	6289	0	"Vent"	137
136	-108.984875	-2.043693	-6460045.511	-121139.2651	6175	-2.06092	-109.003149	-2.045311	-108.977642	209.317673	-2.058326	-108.988444	-6460257.074	-122006.6723	6181	0	"Vent"	138
137	-109.007433	-1.22645	-6461382.622	-72697.48118	6142	-1.227878	-109.013144	-1.251482	-109.007623	152.233734	-1.245224	-109.011573	-6461628.035	-73810.30122	6180	0	"Vent"	139
138	-109.254944	-0.995432	-6476053.78	-59003.90677	6152	-1.006567	-109.262939	-0.998572	-109.254183	144.696821	-1.003641	-109.261654	-6476451.517	-59490.50109	6159	0	"Vent"	140
139	-109.463046	0.219161	-6488388.931	12990.67685	5783	0.16778	-109.528003	0.22108	-109.440201	372.160728	0.223515	-109.409651	-6485223.952	13248.78341	5814	0	"Vent"	141
140	-109.758318	0.964087	-6505891.072	57145.98851	5826	0.950168	-109.779971	0.966586	-109.746896	527.022955	0.956878	-109.777591	-6507033.511	56718.63176	5836	0	"Vent"	142
141	-109.908356	-0.30649	-6514784.559	-18167.11819	5879	-0.318982	-109.916446	-0.300899	-109.905501	293.912361	-0.324408	-109.924774	-6515757.748	-19229.16318	5887	0	"Vent"	143
142	-109.963309	-0.355998	-6518041.897	-21101.65709	5893	-0.360876	-109.979728	-0.354213	-109.954029	264.335873	-0.354817	-109.97203	-6518558.838	-21031.67779	5899	0	"Vent"	144
143	-109.885088	-0.817407	-6513405.326	-48451.55961	5987	-0.830851	-109.90222	-0.818478	-109.874618	209.673756	-0.824902	-109.895081	-6513997.701	-48895.84137	5990	0	"Vent"	145
